2026-03-19 08:41:28 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:32 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:33 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:34 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:35 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:37 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:38 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:39 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:40 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:41 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:44 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:45 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:46 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:47 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:49 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:50 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:51 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:52 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:53 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:55 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:56 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:57 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:59 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:00 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:01 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:02 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:04 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:06 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:08 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:09 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:10 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:11 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:12 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:13 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:14 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:16 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:17 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:22 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:23 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:24 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:26 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:29 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:30 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:31 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:33 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:34 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:35 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:37 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:38 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:39 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:40 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:41 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:42 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:43 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:45 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:46 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:47 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:48 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:50 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:51 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:53 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:55 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:42:56 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:05 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:06 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:07 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:10 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:12 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:16 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:17 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:20 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:22 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:23 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:24 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:25 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:26 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:27 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:28 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:29 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:30 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:35 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:36 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:39 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:40 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:41 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:43 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:44 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:45 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:46 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:47 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:51 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:53 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:54 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:55 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:56 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:43:58 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:00 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:01 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:03 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:04 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:05 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:06 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:09 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:12 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:13 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:14 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:15 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:17 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:19 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:20 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:44:22 | INFO | Application Layer  | rx: Satellite Data 1
